Concentrations in ppbv,,m/z 47.01204 [C1H3O2],m/z 59.04874 [C3H7O1],m/z 61.02806 [C2H5O2],m/z  127.075 [C7H11O2],m/z 137.1339 [C10H17],m/z  139.113 [C9H15O1],m/z 143.1063 [C8H15O2],m/z 155.1074 [C9H15O2],m/z 157.0866 [C8H13O3],m/z 171.1014 [C9H15O3],m/z 173.0805 [C8H13O4],m/z 187.0977 [C9H15O4],m/z 201.1118 [C10H17O4]
,,m/z 47.0118,m/z 59.04863,m/z 61.02766,m/z 127.0748,m/z 137.132,m/z 139.1119,m/z 143.1056  ,m/z 155.1068,m/z 157.086,m/z 171.1006,m/z 173.0808,m/z 187.0966,m/z 201.1119
time_string,time_number,C1H3O2,C3H7O1,C2H5O2,C7H11O2,C10H17,C9H15O1,C8H15O2,C9H15O2,C8H13O3,C9H15O3,C8H13O4,C9H15O4,C10H17O4
12/7/2023 10:34,45267.4414,0.26983,0.23759,0.19983,0.0049439,0.0046413,0.032477,0.0022246,0.017653,0.0015724,0.00074916,-0.0003297,0.00033354,0.0010117
12/7/2023 10:34,45267.4414,0.26303,0.25205,0.18137,0.00074215,0.0012158,0.035656,0.00027488,0.01761,5.06E-05,0.001328,2.64E-05,0.00030222,-0.00087358
12/7/2023 10:34,45267.4414,0.27097,0.22796,0.19361,0.0039978,0.0021266,0.038066,-0.00016937,0.019828,0.0011651,0.0023596,0.00037222,8.73E-05,-0.0004013
12/7/2023 10:34,45267.4414,0.24479,0.19712,0.17835,0.0054634,0.0026745,0.038752,0.0019213,0.024411,0.00206,0.0022838,-0.00026098,-0.00073415,0.00076622
12/7/2023 10:34,45267.4414,0.28258,0.2384,0.18143,0.0043824,0.0055961,0.036147,-0.00021588,0.016462,0.0014995,0.0019466,-0.000741,0.00060288,0.00073954
12/7/2023 10:34,45267.4414,0.18797,0.22651,0.18668,0.0042648,0.0053425,0.032794,-0.00059051,0.017606,0.0015675,0.00017333,-0.00062942,0.00020794,-0.00051198
12/7/2023 10:34,45267.4414,0.24526,0.21227,0.18439,0.003453,6.02E-05,0.03803,0.00036056,0.018942,-0.00068849,8.87E-05,0.00065743,0.00018809,0.0004176
12/7/2023 10:34,45267.4414,0.24933,0.24333,0.18332,0.0045835,0.001722,0.034952,0.0010299,0.021006,0.00089555,0.00036741,0.00057107,0.00043927,-0.00090429
12/7/2023 10:34,45267.4414,0.21761,0.25,0.21417,0.0054457,0.00211,0.039361,0.00065593,0.016137,-0.00028861,0.0011737,0.00035438,6.42E-05,-0.00024355
12/7/2023 10:34,45267.4414,0.23326,0.25843,0.19384,0.0058118,0.0048435,0.036015,-0.0012597,0.017511,0.00099353,0.0016964,0.00059763,0.00041803,0.00073207
12/7/2023 10:34,45267.4414,0.23061,0.22175,0.19072,0.004152,0.0025548,0.033701,0.0012287,0.016157,0.00096191,0.0020755,0.00067441,-0.00043296,-0.00011326
12/7/2023 10:34,45267.4414,0.26372,0.23507,0.17505,0.0048937,0.0024647,0.032927,7.53E-05,0.017527,0.0025123,0.0021375,-0.00027756,9.54E-05,-0.00021769
12/7/2023 10:34,45267.4414,0.23256,0.24462,0.19316,0.0065177,0.0038112,0.036761,0.00080187,0.019234,0.0012668,0.0015559,0.00080341,0.00056712,0.00089132
12/7/2023 10:34,45267.4414,0.2448,0.24159,0.19307,0.0064272,0.0011755,0.039102,-0.0010567,0.017192,0.0010506,0.00099698,-0.0008508,0.00016345,-2.71E-05
12/7/2023 10:34,45267.4414,0.25549,0.22755,0.18361,0.0056842,0.00012706,0.035706,0.0018062,0.019546,0.00081349,0.0016518,0.00015344,-0.00046035,-0.00037073
12/7/2023 10:34,45267.4414,0.20704,0.21882,0.19098,0.0040465,0.0025925,0.039482,0.0013921,0.01886,0.00085554,0.0027052,-0.00040957,0.00069075,-0.0001768
12/7/2023 10:34,45267.4414,0.27126,0.22234,0.16961,0.0071646,0.0030839,0.031368,0.0011676,0.015725,-0.00054708,0.00058821,0.00032315,3.78E-05,0.00020747
12/7/2023 10:34,45267.4414,0.23785,0.22924,0.19243,0.006591,0.0039127,0.032671,0.0017316,0.013835,0.0028837,0.00077027,-0.0014552,0.00081532,-0.00020766
12/7/2023 10:34,45267.4414,0.27793,0.23134,0.1822,0.006017,0.0027523,0.038006,-0.0011465,0.019186,0.00041952,0.0023365,0.0013247,-0.00038154,-0.00069563
12/7/2023 10:34,45267.4414,0.25974,0.2169,0.19415,0.0052539,0.0023591,0.035554,5.37E-05,0.016328,0.001069,0.0012564,0.00087212,1.21E-05,-6.37E-05
12/7/2023 10:34,45267.4414,0.20864,0.21972,0.1898,0.0065372,0.0037688,0.041038,-0.00048241,0.020685,0.0014714,0.0032528,-0.00045973,0.00050104,0.00049302
12/7/2023 10:34,45267.4414,0.27424,0.2255,0.19423,0.0054596,0.0029233,0.041543,0.00048065,0.017654,0.00086712,0.0019515,-0.0002897,0.0011397,6.26E-05
12/7/2023 10:34,45267.4414,0.26965,0.23275,0.18608,0.0060666,0.00030755,0.031197,-0.00015754,0.018025,-0.00070262,0.0010308,0.00026138,-8.33E-05,-0.0002519
12/7/2023 10:34,45267.4414,0.25743,0.2446,0.17654,0.0065791,0.002473,0.03431,0.00089177,0.01461,-0.00016464,0.0025358,0.00015258,0.00051515,-0.0010454
12/7/2023 10:34,45267.4414,0.20229,0.22513,0.20274,0.0057693,0.0027842,0.038365,3.34E-05,0.019358,0.0014404,0.0026772,-0.00060434,-0.00075916,0.00057287
12/7/2023 10:34,45267.4414,0.27125,0.2051,0.20045,0.0051905,0.0027157,0.037788,-0.00037426,0.016258,0.00071643,0.0010644,0.00057908,0.00026261,0.00077674
12/7/2023 10:34,45267.4414,0.2381,0.21576,0.19204,0.0053855,0.0012347,0.02977,0.00054979,0.018887,0.0014016,0.002892,0.00045325,0.0013492,0.00037154
12/7/2023 10:34,45267.4414,0.22554,0.21569,0.1666,0.0068253,0.00073016,0.038211,0.0012826,0.015345,-0.00099124,0.0014353,-0.00020036,-0.00022754,-0.00075734
12/7/2023 10:34,45267.4414,0.23277,0.23217,0.16963,0.0053878,0.0024836,0.035082,0.0010879,0.018417,0.0018377,0.0034492,-0.00039178,0.0012175,4.22E-05
12/7/2023 10:34,45267.4414,0.2232,0.2068,0.21376,0.0079776,0.0048193,0.038215,0.0012336,0.016233,0.0011139,0.002508,-0.00024748,0.0010357,0.00014275
12/7/2023 10:35,45267.4414,0.24453,0.19338,0.17897,0.0067753,0.0019385,0.035318,4.49E-05,0.016404,0.00085897,0.0019031,-0.00043308,0.00016081,0.00038638
12/7/2023 10:35,45267.4414,0.21235,0.2187,0.19728,0.0057428,0.003086,0.035097,0.00096886,0.017187,0.0014274,0.0018688,-8.82E-05,-0.00019369,-0.0010851
12/7/2023 10:35,45267.4414,0.22535,0.21569,0.18366,0.0026478,0.0028775,0.037893,0.0014105,0.020006,0.00013108,0.00056908,0.0010429,0.00038317,-0.00061868
12/7/2023 10:35,45267.4414,0.22035,0.22085,0.16742,0.0047763,0.0013907,0.034851,0.0013817,0.01906,0.0024228,-0.00019278,0.00051761,0.0014509,-0.00072092
12/7/2023 10:35,45267.4414,0.25325,0.22821,0.18365,0.0016909,0.0048366,0.035315,-0.00024807,0.017399,-0.0010345,0.0017204,0.00090429,0.00061835,0.00058103
12/7/2023 10:35,45267.4414,0.24091,0.23673,0.19955,0.0040836,0.0023079,0.032825,0.0011526,0.019769,-0.00016965,0.00036442,-8.40E-06,-0.00018631,-0.00052218
12/7/2023 10:35,45267.4414,0.27771,0.21024,0.21641,0.0057556,0.0028775,0.030952,0.0020302,0.016855,0.00037005,0.0013689,-8.88E-06,0.00087731,-0.00062929
12/7/2023 10:35,45267.4414,0.22871,0.22503,0.18018,0.0023803,0.0013835,0.035152,0.0021518,0.017378,0.00060614,0.0012456,-0.00050435,0.0015427,0.0006496
12/7/2023 10:35,45267.4414,0.20946,0.23283,0.17958,0.0076708,0.0032768,0.031736,0.00060916,0.021427,0.0020567,0.00040396,0.0006544,-0.00046711,-0.00080307
12/7/2023 10:35,45267.4414,0.25343,0.22187,0.19463,0.0054193,0.005396,0.037972,-0.000189,0.015931,0.0015341,0.0016833,1.85E-06,0.00092292,0.0014326
12/7/2023 10:35,45267.4414,0.21561,0.24539,0.19585,0.002934,0.0027146,0.035599,-0.00020462,0.020346,0.00046253,0.0020484,-0.00035422,0.00034937,0.0006284
12/7/2023 10:35,45267.4414,0.23555,0.23342,0.18455,0.0048061,0.0029725,0.033096,0.00076768,0.016879,-0.00062902,0.0014266,0.00023066,-0.0001858,-0.00053739
12/7/2023 10:35,45267.4414,0.2419,0.23757,0.17371,0.0060754,0.0038928,0.032483,4.34E-05,0.01976,0.0011627,0.0015597,0.0004024,-0.00028396,0.00041446
12/7/2023 10:35,45267.4414,0.20672,0.23501,0.1727,0.0049356,0.0016405,0.037043,0.00073987,0.019288,-0.0013032,0.00056044,-0.00012483,-0.00015775,-0.00049549
12/7/2023 10:35,45267.4414,0.24396,0.21724,0.18463,0.006115,0.0027298,0.041955,0.0014267,0.013264,0.0010929,0.0021435,0.00092152,0.00064575,-9.63E-05
12/7/2023 10:35,45267.4414,0.2448,0.23693,0.19633,0.0042577,0.0045589,0.033679,-0.0005174,0.018132,-0.0012014,0.0010963,7.07E-05,0.0003063,0.00017478
12/7/2023 10:35,45267.4414,0.24065,0.2465,0.17182,0.0041643,0.0036621,0.036815,-0.0011976,0.016376,-0.00098133,0.0024741,-0.00071524,6.41E-05,0.00095209
12/7/2023 10:35,45267.4414,0.22457,0.22927,0.18554,0.00562,0.00086199,0.036128,2.09E-05,0.015939,0.0010032,0.00074648,0.00048243,0.0019615,-0.00028396
12/7/2023 10:35,45267.4414,0.21204,0.23121,0.17134,0.0059303,0.0044072,0.036684,-6.98E-05,0.017148,0.0010541,0.0016202,-0.00014238,0.00053157,3.20E-05
12/7/2023 10:35,45267.4414,0.25456,0.22216,0.18284,0.0057324,0.0021836,0.037031,0.0013653,0.019724,0.0015704,0.0010028,0.0016853,-0.00059764,0.00035853
12/7/2023 10:35,45267.4414,0.25255,0.22337,0.18409,0.0051362,0.0024851,0.033383,9.94E-05,0.017319,0.00028045,8.36E-05,0.0009021,0.00022197,0.0014321
12/7/2023 10:35,45267.4414,0.23889,0.21025,0.20017,0.0074967,0.0032046,0.034758,-0.00075939,0.018224,0.0011948,0.001496,3.62E-05,-0.00012619,0.00017316
12/7/2023 10:35,45267.4414,0.21826,0.20379,0.20272,0.0041545,0.00067838,0.030574,-0.0003403,0.018921,0.00030974,0.0012675,0.00040478,0.00040185,0.00040788
12/7/2023 10:35,45267.4414,0.20918,0.22006,0.18361,0.0025476,0.0021903,0.036854,-0.00022544,0.015279,0.0015646,0.0033141,-0.0003509,0.00091376,1.34E-05
12/7/2023 10:35,45267.4414,0.21475,0.22466,0.17004,0.0048694,0.0026445,0.032805,0.00017712,0.016165,0.002884,0.00029391,0.00076475,-2.61E-05,-3.05E-06
12/7/2023 10:35,45267.4414,0.25132,0.22735,0.1831,0.0087268,0.0016079,0.030208,-0.00078628,0.018317,8.14E-05,0.0015898,0.00042245,0.00022424,0.00064875
12/7/2023 10:35,45267.4414,0.21756,0.22987,0.17104,0.0058633,-0.00028008,0.037582,0.0010388,0.020297,0.00060985,0.0024983,-4.74E-05,-0.00056991,0.00076618
12/7/2023 10:35,45267.4414,0.22022,0.20857,0.17633,0.007627,0.0032013,0.030837,-0.00093341,0.014691,0.00080133,0.002136,1.25E-05,-0.00035258,-0.00024016
12/7/2023 10:35,45267.4414,0.23186,0.22044,0.2004,0.0074835,0.0024766,0.036586,-6.87E-05,0.012295,0.00055747,0.0027516,0.00081946,-0.00020745,-0.00048126
12/7/2023 10:35,45267.4414,0.258,0.23697,0.20304,0.0042748,0.0030589,0.033525,-0.0001229,0.016233,0.00098158,0.0018602,0.00054362,-0.00018483,-0.00025169
12/7/2023 10:36,45267.4414,0.24499,0.22339,0.18213,0.0043977,0.0024697,0.035834,-0.00024666,0.016191,0.00072439,0.0015868,-0.00070852,0.0014172,0.0008828
12/7/2023 10:36,45267.4414,0.26317,0.22316,0.16927,0.0081549,0.004838,0.033221,-0.0012232,0.017812,0.0014895,0.0018649,0.00086096,-0.00024811,0.00027945
