"variable","treatment","period","mn","n"
"CH4_rate","control",1,7.18470964044874,3552
"CH4_rate","control",2,9.3456148186525,3642
"CH4_rate","control",3,6.55010210272309,3682
"CH4_rate","control",4,4.84785775244271,3657
"CH4_rate","frequentflushing",1,3.64601709804845,3554
"CH4_rate","frequentflushing",2,4.40568409429754,3640
"CH4_rate","frequentflushing",3,4.69200790464445,3679
"CH4_rate","frequentflushing",4,4.64637936236951,3659
"CH4_rate","slurryfunnels",1,2.86683960081288,3554
"CH4_rate","slurryfunnels",2,2.74782673857093,3650
"CH4_rate","slurryfunnels",3,2.45058867550426,3679
"CH4_rate","slurryfunnels",4,2.12813438444912,3659
"CH4_rate","slurrytrays",1,3.78088111751093,3574
"CH4_rate","slurrytrays",2,3.00303841768431,3655
"CH4_rate","slurrytrays",3,2.54278192401945,3682
"CH4_rate","slurrytrays",4,2.62610807627017,3660
"CH4_emis_rate","control",1,5.33314675378974,3552
"CH4_emis_rate","control",2,7.15816311813384,3642
"CH4_emis_rate","control",3,4.50368413125978,3682
"CH4_emis_rate","control",4,2.90624283238675,3643
"CH4_emis_rate","frequentflushing",1,1.7379457885178,3554
"CH4_emis_rate","frequentflushing",2,2.27034625891827,3640
"CH4_emis_rate","frequentflushing",3,2.69330419376878,3679
"CH4_emis_rate","frequentflushing",4,2.6839142258607,3645
"CH4_emis_rate","slurryfunnels",1,1.07843080301051,3554
"CH4_emis_rate","slurryfunnels",2,0.343103558853624,3650
"CH4_emis_rate","slurryfunnels",3,0.463040348706916,3679
"CH4_emis_rate","slurryfunnels",4,0.260174244869003,3644
"CH4_emis_rate","slurrytrays",1,1.90660716069034,3574
"CH4_emis_rate","slurrytrays",2,0.781325452487999,3655
"CH4_emis_rate","slurrytrays",3,0.539546116699972,3682
"CH4_emis_rate","slurrytrays",4,0.655167636508754,3646
"NH3_emis_rate","control",1,6.06234406117644,3574
"NH3_emis_rate","control",2,5.52140947511016,3650
"NH3_emis_rate","control",3,3.63791227027011,3689
"NH3_emis_rate","control",4,4.18279335492768,3659
"NH3_emis_rate","frequentflushing",1,6.83540520754901,3571
"NH3_emis_rate","frequentflushing",2,6.47442352269117,3644
"NH3_emis_rate","frequentflushing",3,5.3554284157435,3680
"NH3_emis_rate","frequentflushing",4,5.84252886484584,3659
"NH3_emis_rate","slurryfunnels",1,4.80127671002114,3573
"NH3_emis_rate","slurryfunnels",2,3.75376362588838,3655
"NH3_emis_rate","slurryfunnels",3,2.71461975579543,3679
"NH3_emis_rate","slurryfunnels",4,2.54468224257008,3662
"NH3_emis_rate","slurrytrays",1,6.37754421857124,3574
"NH3_emis_rate","slurrytrays",2,3.02853093489519,3655
"NH3_emis_rate","slurrytrays",3,2.10844851068303,3682
"NH3_emis_rate","slurrytrays",4,2.71902603209463,3660
"CO2E","control",1,1945.5413341394,3574
"CO2E","control",2,1797.63829980904,3650
"CO2E","control",3,1726.93843881892,3689
"CO2E","control",4,1801.32224155901,3659
"CO2E","frequentflushing",1,1898.59496524683,3571
"CO2E","frequentflushing",2,1776.32121850031,3644
"CO2E","frequentflushing",3,2009.13413284865,3680
"CO2E","frequentflushing",4,2177.58838726312,3659
"CO2E","slurryfunnels",1,1814.61983564131,3573
"CO2E","slurryfunnels",2,1792.50843691637,3655
"CO2E","slurryfunnels",3,1713.09099353774,3679
"CO2E","slurryfunnels",4,1704.38913956619,3662
"CO2E","slurrytrays",1,2075.09271896361,3574
"CO2E","slurrytrays",2,1731.78429530905,3655
"CO2E","slurrytrays",3,1527.29712898717,3682
"CO2E","slurrytrays",4,1797.48780919397,3660
"CO2_emis_rate","control",1,414.287460932594,3574
"CO2_emis_rate","control",2,243.190845846536,3650
"CO2_emis_rate","control",3,173.906625463796,3689
"CO2_emis_rate","control",4,240.895064120566,3658
"CO2_emis_rate","frequentflushing",1,371.928859511347,3571
"CO2_emis_rate","frequentflushing",2,237.227715165504,3644
"CO2_emis_rate","frequentflushing",3,453.508925987895,3680
"CO2_emis_rate","frequentflushing",4,605.150871889332,3659
"CO2_emis_rate","slurryfunnels",1,293.537152106138,3573
"CO2_emis_rate","slurryfunnels",2,234.806508318102,3655
"CO2_emis_rate","slurryfunnels",3,163.585161533857,3679
"CO2_emis_rate","slurryfunnels",4,162.657701650481,3661
"CO2_emis_rate","slurrytrays",1,530.154309552818,3574
"CO2_emis_rate","slurrytrays",2,176.217998442526,3655
"CO2_emis_rate","slurrytrays",3,-13.3591846842037,3682
"CO2_emis_rate","slurrytrays",4,232.56539391695,3659
"H2S","control",1,1.17080593454682,1784
"H2S","control",4,0.843604021792527,1596
"H2S","frequentflushing",1,0.60514928840273,1785
"H2S","frequentflushing",4,0.446806883309752,1597
"H2S","slurryfunnels",1,0.12195455766026,1741
"H2S","slurryfunnels",4,0.10196085621736,1594
"H2S","slurrytrays",1,0.456311378968201,1786
"H2S","slurrytrays",4,0.152046183211592,1598
"OAVE","control",1,1114.02011576634,1784
"OAVE","control",4,918.396704661959,1596
"OAVE","frequentflushing",1,934.454302818458,1785
"OAVE","frequentflushing",4,1188.87125350542,1597
"OAVE","slurryfunnels",1,730.191588706503,1741
"OAVE","slurryfunnels",4,709.169867602367,1594
"OAVE","slurrytrays",1,923.806590495054,1786
"OAVE","slurrytrays",4,649.433088811508,1598
